batch,scenario,doctrine,score,assignments
simulated_campaign_batch_16.json,080,saturation,431.09027652740474,3
simulated_campaign_batch_16.json,080,scout,329.5100463867187,3
simulated_campaign_batch_17.json,081,balanced,426.1225729370117,9
simulated_campaign_batch_17.json,081,aggressive,309.19703491210936,20
simulated_campaign_batch_17.json,081,fortress,723.079716644287,9
simulated_campaign_batch_17.json,081,economy,325.7823808288574,9
simulated_campaign_batch_17.json,081,ambush,246.02446640014648,9
simulated_campaign_batch_17.json,081,saturation,310.5718193054199,9
simulated_campaign_batch_17.json,081,scout,226.38106567382812,9
simulated_campaign_batch_17.json,082,balanced,575.0423458099365,4
simulated_campaign_batch_17.json,082,aggressive,359.69353759765625,4
simulated_campaign_batch_17.json,082,fortress,869.4646065902709,4
simulated_campaign_batch_17.json,082,economy,479.9440482711792,4
simulated_campaign_batch_17.json,082,ambush,401.4264519882202,4
simulated_campaign_batch_17.json,082,saturation,480.05907146453853,4
simulated_campaign_batch_17.json,082,scout,377.9882971191406,4
simulated_campaign_batch_17.json,083,balanced,583.6073490142822,8
simulated_campaign_batch_17.json,083,aggressive,309.0356079101562,8
simulated_campaign_batch_17.json,083,fortress,875.2504343032837,8
simulated_campaign_batch_17.json,083,economy,478.52854633331293,8
simulated_campaign_batch_17.json,083,ambush,380.4319604873657,8
simulated_campaign_batch_17.json,083,saturation,472.9342164993286,8
simulated_campaign_batch_17.json,083,scout,359.636083984375,8
simulated_campaign_batch_17.json,084,balanced,387.48666511535646,9
simulated_campaign_batch_17.json,084,aggressive,313.012470703125,25
simulated_campaign_batch_17.json,084,fortress,687.8621486282348,9
simulated_campaign_batch_17.json,084,economy,256.7382825088501,6
simulated_campaign_batch_17.json,084,ambush,208.23556568145753,9
simulated_campaign_batch_17.json,084,saturation,275.4427209854126,9
simulated_campaign_batch_17.json,084,scout,188.53752685546874,9
simulated_campaign_batch_17.json,085,balanced,343.82599357604977,5
simulated_campaign_batch_17.json,085,aggressive,439.57454101562496,10
simulated_campaign_batch_17.json,085,fortress,609.4011307907105,5
simulated_campaign_batch_17.json,085,economy,266.17049461364746,5
simulated_campaign_batch_17.json,085,ambush,184.57140922546387,5
simulated_campaign_batch_17.json,085,saturation,254.8359148788452,5
simulated_campaign_batch_17.json,085,scout,165.8458361816406,5
simulated_campaign_batch_18.json,086,balanced,369.90948928833006,2
simulated_campaign_batch_18.json,086,aggressive,309.30657348632815,4
simulated_campaign_batch_18.json,086,fortress,667.5709790802001,2
simulated_campaign_batch_18.json,086,economy,271.4186045074463,2
simulated_campaign_batch_18.json,086,ambush,190.43178413391115,2
simulated_campaign_batch_18.json,086,saturation,263.40965309143064,2
simulated_campaign_batch_18.json,086,scout,171.72356689453125,2
simulated_campaign_batch_18.json,087,balanced,-328.923828125,0
simulated_campaign_batch_18.json,087,aggressive,399.8363000488281,15
simulated_campaign_batch_18.json,087,fortress,-30.655795288085926,0
simulated_campaign_batch_18.json,087,economy,-428.56528625488284,0
simulated_campaign_batch_18.json,087,ambush,354.45973815917966,15
simulated_campaign_batch_18.json,087,saturation,-428.91212463378906,0
simulated_campaign_batch_18.json,087,scout,336.8245788574219,15
